Sample	total_reads	Human counts	Human percentage	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	No hits counts	No hits percentage
SRR799769_1_paired_trimmomatic_screen	101836	1518.0	1.49	1446.0	1.4100000000000001	0.0	0.0	99931	98.13
SRR799769_1_unpaired_trimmomatic_screen	109817	2429.0	2.22	2400.0	2.19	0.0	0.0	106829	97.28
SRR799769_2_paired_trimmomatic_screen	101836	1491.0	1.4700000000000002	1456.0	1.4300000000000002	0.0	0.0	99962	98.16
SRR799769_2_unpaired_trimmomatic_screen	194708	3378.0	1.73	3325.0	1.7100000000000002	0.0	0.0	190521	97.85
SRR799770_1_paired_trimmomatic_screen	98216	1193.0	1.21	1187.0	1.21	0.0	0.0	96664	98.42
SRR799770_1_unpaired_trimmomatic_screen	132911	2461.0	1.85	2438.0	1.8399999999999999	1.0	0.0	129867	97.71
SRR799770_2_paired_trimmomatic_screen	98216	1178.0	1.19	1163.0	1.18	0.0	0.0	96683	98.44
SRR799770_2_unpaired_trimmomatic_screen	108162	1625.0	1.51	1625.0	1.51	2.0	0.0	106106	98.1
SRR799771_1_paired_trimmomatic_screen	100596	1425.0	1.42	1441.0	1.4300000000000002	1.0	0.0	98785	98.2
SRR799771_1_unpaired_trimmomatic_screen	124376	2636.0	2.12	2611.0	2.0999999999999996	0.0	0.0	121129	97.39
SRR799771_2_paired_trimmomatic_screen	100596	1405.0	1.4	1368.0	1.37	1.0	0.0	98815	98.23
SRR799771_2_unpaired_trimmomatic_screen	122334	1999.0	1.6300000000000001	1967.0	1.61	0.0	0.0	119875	97.99
SRR799772_1_paired_trimmomatic_screen	98610	1225.0	1.24	1245.0	1.27	0.0	0.0	97101	98.47
SRR799772_1_unpaired_trimmomatic_screen	136035	2247.0	1.65	2328.0	1.72	0.0	0.0	133300	97.99
SRR799772_2_paired_trimmomatic_screen	98610	1203.0	1.21	1201.0	1.21	0.0	0.0	97140	98.51
SRR799772_2_unpaired_trimmomatic_screen	122153	1742.0	1.4300000000000002	1772.0	1.4500000000000002	0.0	0.0	120027	98.26
SRR799773_1_paired_trimmomatic_screen	100670	1516.0	1.51	1519.0	1.5	0.0	0.0	98717	98.06
SRR799773_1_unpaired_trimmomatic_screen	130063	2770.0	2.13	2727.0	2.09	0.0	0.0	126629	97.36
SRR799773_2_paired_trimmomatic_screen	100670	1537.0	1.53	1547.0	1.54	0.0	0.0	98696	98.04
SRR799773_2_unpaired_trimmomatic_screen	117601	1946.0	1.6600000000000001	1956.0	1.6700000000000002	0.0	0.0	115154	97.92
SRR799774_1_paired_trimmomatic_screen	98813	1289.0	1.31	1297.0	1.31	0.0	0.0	97133	98.3
SRR799774_1_unpaired_trimmomatic_screen	124811	2339.0	1.87	2319.0	1.8599999999999999	0.0	0.0	121902	97.67
SRR799774_2_paired_trimmomatic_screen	98813	1328.0	1.34	1208.0	1.2200000000000002	0.0	0.0	97182	98.35
SRR799774_2_unpaired_trimmomatic_screen	114713	1766.0	1.54	1698.0	1.48	1.0	0.0	112510	98.08
SRR799775_1_paired_trimmomatic_screen	101308	1579.0	1.56	1654.0	1.6300000000000001	0.0	0.0	99291	98.01
SRR799775_1_unpaired_trimmomatic_screen	111555	2878.0	2.57	3008.0	2.6799999999999997	1.0	0.0	107996	96.81
SRR799775_2_paired_trimmomatic_screen	101308	1602.0	1.58	1643.0	1.62	0.0	0.0	99261	97.98
SRR799775_2_unpaired_trimmomatic_screen	105252	2059.0	1.95	2119.0	2.02	0.0	0.0	102683	97.56
SRR799776_1_paired_trimmomatic_screen	100983	1370.0	1.36	1399.0	1.38	0.0	0.0	99286	98.32
SRR799776_1_unpaired_trimmomatic_screen	147443	2635.0	1.78	2587.0	1.77	2.0	0.0	144287	97.86
SRR799776_2_paired_trimmomatic_screen	100983	1370.0	1.35	1428.0	1.41	1.0	0.0	99266	98.3
SRR799776_2_unpaired_trimmomatic_screen	85426	1307.0	1.5300000000000002	1288.0	1.5100000000000002	0.0	0.0	83845	98.15
