Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR799769_1_paired_trimmomatic	11.546494867496705	45.0	71.17088770179504	10.0	2545900.0
SRR799769_2_paired_trimmomatic	13.522218020209209	45.0	71.67851879492517	10.0	2545900.0
SRR799770_1_paired_trimmomatic	20.066766267745976	46.0	71.1006746771702	10.0	2750056.0
SRR799770_2_paired_trimmomatic	22.79330988188299	46.0	71.64722936551111	10.0	2750056.0
SRR799771_1_paired_trimmomatic	11.81488001500405	46.0	71.11596782660254	10.0	3118477.0
SRR799771_2_paired_trimmomatic	14.54843992384582	46.0	71.73381974598497	10.0	3118477.0
SRR799772_1_paired_trimmomatic	35.610686461400434	47.0	71.15346114050391	10.0	3155535.0
SRR799772_2_paired_trimmomatic	39.521581001014326	47.0	71.65533990274233	10.0	3155535.0
SRR799773_1_paired_trimmomatic	10.192012003686244	46.0	71.10583054728784	10.0	3020111.0
SRR799773_2_paired_trimmomatic	12.544670212821757	46.0	71.6399658820487	10.0	3020111.0
SRR799774_1_paired_trimmomatic	21.200600794345263	46.0	71.12301869887462	10.0	2964403.0
SRR799774_2_paired_trimmomatic	24.59637616426305	46.0	71.67479219255951	10.0	2964403.0
SRR799775_1_paired_trimmomatic	12.091157417369345	44.0	71.21152783139719	10.0	2735328.0
SRR799775_2_paired_trimmomatic	13.948896370637712	44.0	71.74563416160694	10.0	2735328.0
SRR799776_1_paired_trimmomatic	31.60463799087988	48.0	71.08938345476588	10.0	3332440.0
SRR799776_2_paired_trimmomatic	37.01456340608903	48.0	71.60324566983952	10.0	3332440.0
