Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR799769_1	11.235109544081425	46.0	73.0	10.0	2936116.0
SRR799769_1_paired_trimmomatic	11.546496163750177	45.0	71.17089254950513	10.0	2545898.0
SRR799769_1_sickle	12.22852914506393	45.0	71.45668130088877	10.0	2639703.0
SRR799769_2	14.20162943823749	46.0	73.0	10.0	2936116.0
SRR799769_2_paired_trimmomatic	13.522219534061293	45.0	71.67852207747522	10.0	2545898.0
SRR799769_2_sickle	13.950351216470196	45.0	71.84627475136408	10.0	2639703.0
SRR799770_1	19.15207962521606	47.0	73.0	10.0	3198880.0
SRR799770_1_paired_trimmomatic	20.066766267745976	46.0	71.1006746771702	10.0	2750056.0
SRR799770_1_sickle	21.117776858891517	46.0	71.39288694164551	10.0	2854862.0
SRR799770_2	23.128412256763113	47.0	73.0	10.0	3198880.0
SRR799770_2_paired_trimmomatic	22.79330988188299	46.0	71.64722936551111	10.0	2750056.0
SRR799770_2_sickle	23.935727749812273	46.0	71.8184907011267	10.0	2854862.0
SRR799771_1	11.296202443828108	46.0	73.0	10.0	3587826.0
SRR799771_1_paired_trimmomatic	11.81488001500405	46.0	71.11596782660254	10.0	3118477.0
SRR799771_1_sickle	12.553692910942104	46.0	71.41228585490832	10.0	3232563.0
SRR799771_2	14.298395284024636	46.0	73.0	10.0	3587826.0
SRR799771_2_paired_trimmomatic	14.54843992384582	46.0	71.73381974598497	10.0	3118477.0
SRR799771_2_sickle	15.289332635218628	46.0	71.89539848101955	10.0	3232563.0
SRR799772_1	32.73144684759231	47.0	73.0	10.0	3648593.0
SRR799772_1_paired_trimmomatic	35.6106931839351	47.0	71.15346313919075	10.0	3155533.0
SRR799772_1_sickle	36.764299992260916	47.0	71.44998353958226	10.0	3274522.0
SRR799772_2	39.18914191962133	48.0	73.0	10.0	3648593.0
SRR799772_2_paired_trimmomatic	39.521588051213286	47.0	71.65536059993669	10.0	3155533.0
SRR799772_2_sickle	41.20415602126902	47.0	71.83099212648442	10.0	3274522.0
SRR799773_1	9.519099592718476	46.0	73.0	10.0	3489607.0
SRR799773_1_paired_trimmomatic	10.192012003686244	46.0	71.10583054728784	10.0	3020111.0
SRR799773_1_sickle	10.766865471854075	46.0	71.40649079269699	10.0	3132622.0
SRR799773_2	12.325061661417806	46.0	73.0	10.0	3489607.0
SRR799773_2_paired_trimmomatic	12.544670212821757	46.0	71.6399658820487	10.0	3020111.0
SRR799773_2_sickle	13.242151298713964	46.0	71.81127375087068	10.0	3132622.0
SRR799774_1	19.844756634262907	47.0	73.0	10.0	3418757.0
SRR799774_1_paired_trimmomatic	21.200600794345263	46.0	71.12301869887462	10.0	2964403.0
SRR799774_1_sickle	22.107379065218453	46.0	71.4185128399691	10.0	3073294.0
SRR799774_2	24.46604383214401	47.0	73.0	10.0	3418757.0
SRR799774_2_paired_trimmomatic	24.59637616426305	46.0	71.67479219255951	10.0	2964403.0
SRR799774_2_sickle	25.856433757346238	46.0	71.84751735434358	10.0	3073294.0
SRR799775_1	11.653079790556518	45.0	73.0	10.0	3147358.0
SRR799775_1_paired_trimmomatic	12.091157417369345	44.0	71.21152783139719	10.0	2735328.0
SRR799775_1_sickle	12.840604579282129	44.0	71.49405830395048	10.0	2835554.0
SRR799775_2	14.584066709550811	45.0	73.0	10.0	3147358.0
SRR799775_2_paired_trimmomatic	13.948896370637712	44.0	71.74563416160694	10.0	2735328.0
SRR799775_2_sickle	14.906179986769814	45.0	71.9024190687252	10.0	2835554.0
SRR799776_1	28.805217194101033	48.0	73.0	10.0	3855726.0
SRR799776_1_paired_trimmomatic	31.60463799087988	48.0	71.08938345476588	10.0	3332440.0
SRR799776_1_sickle	32.72218599000669	48.0	71.38557280444208	10.0	3455682.0
SRR799776_2	35.205021755243564	48.0	73.0	10.0	3855726.0
SRR799776_2_paired_trimmomatic	37.01456340608903	48.0	71.60324566983952	10.0	3332440.0
SRR799776_2_sickle	38.46234444703644	48.0	71.77928119543407	10.0	3455682.0
