Module	Section	Sample Name	Source
FastQC	all_sections	SRR799769_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_1_fastqc.zip
FastQC	all_sections	SRR799769_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799769_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_1_sickle_fastqc.zip
FastQC	all_sections	SRR799769_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_2_fastqc.zip
FastQC	all_sections	SRR799769_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799769_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799769_2_sickle_fastqc.zip
FastQC	all_sections	SRR799770_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_1_fastqc.zip
FastQC	all_sections	SRR799770_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799770_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_1_sickle_fastqc.zip
FastQC	all_sections	SRR799770_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_2_fastqc.zip
FastQC	all_sections	SRR799770_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799770_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799770_2_sickle_fastqc.zip
FastQC	all_sections	SRR799771_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_1_fastqc.zip
FastQC	all_sections	SRR799771_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799771_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_1_sickle_fastqc.zip
FastQC	all_sections	SRR799771_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_2_fastqc.zip
FastQC	all_sections	SRR799771_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799771_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799771_2_sickle_fastqc.zip
FastQC	all_sections	SRR799772_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_1_fastqc.zip
FastQC	all_sections	SRR799772_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799772_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_1_sickle_fastqc.zip
FastQC	all_sections	SRR799772_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_2_fastqc.zip
FastQC	all_sections	SRR799772_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799772_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799772_2_sickle_fastqc.zip
FastQC	all_sections	SRR799773_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_1_fastqc.zip
FastQC	all_sections	SRR799773_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799773_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_1_sickle_fastqc.zip
FastQC	all_sections	SRR799773_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_2_fastqc.zip
FastQC	all_sections	SRR799773_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799773_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799773_2_sickle_fastqc.zip
FastQC	all_sections	SRR799774_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_1_fastqc.zip
FastQC	all_sections	SRR799774_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799774_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_1_sickle_fastqc.zip
FastQC	all_sections	SRR799774_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_2_fastqc.zip
FastQC	all_sections	SRR799774_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799774_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799774_2_sickle_fastqc.zip
FastQC	all_sections	SRR799775_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_1_fastqc.zip
FastQC	all_sections	SRR799775_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799775_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_1_sickle_fastqc.zip
FastQC	all_sections	SRR799775_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_2_fastqc.zip
FastQC	all_sections	SRR799775_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799775_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799775_2_sickle_fastqc.zip
FastQC	all_sections	SRR799776_1	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_1_fastqc.zip
FastQC	all_sections	SRR799776_1_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_1_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799776_1_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_1_sickle_fastqc.zip
FastQC	all_sections	SRR799776_2	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_2_fastqc.zip
FastQC	all_sections	SRR799776_2_paired_trimmomatic	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_2_paired_trimmomatic_fastqc.zip
FastQC	all_sections	SRR799776_2_sickle	/mnt/d/projects/salmo_trutta_rna_seq/data/02_intermediate/SRR799776_2_sickle_fastqc.zip
