name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000313124,11.875,0.75,23,34.6781883007382,5.11595662442133,4.51836636840258,1.20410862429606e-10,1.62000774312792e-06,0,1,0,2,20,17,20,35
ENSSTUE00000141781,50.875,92.5,9.25,0.100319181520675,-3.31733061217784,6.43937311874569,3.95401217312194e-07,0.00265986398885913,97,100,39,134,8,9,11,9
ENSSTUE00000209938,67.375,129.75,5,0.0406513804073347,-4.62055184674864,6.83101177162798,5.11827954795718e-06,0.017215333259554,57,104,72,286,2,13,2,3
ENSSTUE00000151105,46.875,90.25,3.5,0.0386686682466682,-4.69269111107969,6.33429299822694,4.78162336053492e-06,0.017215333259554,19,48,197,97,2,1,6,5
ENSSTUE00000514768,33.25,64.25,2.25,0.0358344227083125,-4.80251007685451,5.86180676582745,7.17456363026743e-06,0.0193053158163236,13,31,149,64,3,0,3,3
ENSSTUE00000563214,24.125,44.25,4,0.0943077425821787,-3.40647997002632,5.44192653627438,0.000481700225356219,0.964208774856305,23,23,121,10,3,2,8,3
ENSSTUE00000209937,62.875,119.75,6,0.05059337946521,-4.30490758030218,6.72957570038064,0.000501669497844071,0.964208774856305,39,76,70,294,2,19,1,2
ENSSTUE00000385653,1147.875,96.5,2199.25,22.7289078846886,4.50645645976479,10.8928391100314,0.0106962326874924,1,87,152,17,130,81,389,22,8305
ENSSTUE00000385595,107.5,10,205,20.1527760294159,4.33290667746287,7.48999034798517,0.00868890725055527,1,11,12,3,14,7,31,4,778
ENSSTUE00000029518,106,22.25,189.75,8.56655264202517,3.09871475079785,7.46929439127563,0.0327015704628364,1,7,27,12,43,11,37,9,702
ENSSTUE00000485345,497.75,108.25,887.25,8.18492789999072,3.03296970823468,9.68908293015828,0.368002642437814,1,0,40,2,391,0,50,0,3499
ENSSTUE00000500228,53.875,13,94.75,7.0981641542491,2.82744593897799,6.53848579811654,0.00167859251284222,1,26,16,8,2,141,85,134,19
ENSSTUE00000090525,49.625,12.25,87,7.03672817951675,2.81490478448972,6.40087039876703,0.012855160452387,1,18,9,10,12,14,11,28,295
ENSSTUE00000328727,224.875,64.5,385.25,5.95122793712579,2.57318737531562,8.55231715033404,0.00436915623912565,1,15,112,94,37,149,749,318,325
ENSSTUE00000557329,42.75,12.75,72.75,5.58898367448972,2.48258596087168,6.19286299193358,0.0634972255713528,1,3,40,2,6,9,67,8,207
ENSSTUE00000103040,105.25,32.25,178.25,5.52819544461636,2.46680862187566,7.4689044886915,0.00127727006384732,1,14,40,32,43,76,256,89,292
ENSSTUE00000103072,200.25,62,338.5,5.50684363313523,2.46122564373427,8.38396519646419,0.00367270429378577,1,24,53,46,125,181,458,138,577
