Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR799769_1	11.235109544081425	46.0	73.0	10.0	2936116.0
SRR799769_2	14.20162943823749	46.0	73.0	10.0	2936116.0
SRR799770_1	19.15207962521606	47.0	73.0	10.0	3198880.0
SRR799770_2	23.128412256763113	47.0	73.0	10.0	3198880.0
SRR799771_1	11.296202443828108	46.0	73.0	10.0	3587826.0
SRR799771_2	14.298395284024636	46.0	73.0	10.0	3587826.0
SRR799772_1	32.73144684759231	47.0	73.0	10.0	3648593.0
SRR799772_2	39.18914191962133	48.0	73.0	10.0	3648593.0
SRR799773_1	9.519099592718476	46.0	73.0	10.0	3489607.0
SRR799773_2	12.325061661417806	46.0	73.0	10.0	3489607.0
SRR799774_1	19.844756634262907	47.0	73.0	10.0	3418757.0
SRR799774_2	24.46604383214401	47.0	73.0	10.0	3418757.0
SRR799775_1	11.653079790556518	45.0	73.0	10.0	3147358.0
SRR799775_2	14.584066709550811	45.0	73.0	10.0	3147358.0
SRR799776_1	28.805217194101033	48.0	73.0	10.0	3855726.0
SRR799776_2	35.205021755243564	48.0	73.0	10.0	3855726.0
