#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100026	99075	99.05	215	0.21	78	0.08	150	0.15	508	0.51
Mouse	100026	99035	99.01	115	0.11	41	0.04	218	0.22	617	0.62
Rat	100026	98994	98.97	144	0.14	72	0.07	158	0.16	658	0.66
Drosophila	100026	99643	99.63	89	0.09	14	0.01	75	0.07	205	0.20
Worm	100026	99873	99.84	8	0.01	2	0.00	36	0.04	107	0.11
Yeast	100026	99923	99.90	1	0.00	0	0.00	18	0.02	84	0.08
Arabidopsis	100026	99850	99.83	15	0.01	4	0.00	31	0.03	126	0.13
Ecoli	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100026	99942	99.92	0	0.00	0	0.00	15	0.01	69	0.07
MT	100026	99999	99.98	23	0.02	0	0.00	1	0.00	3	0.00
PhiX	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100026	100019	99.99	0	0.00	0	0.00	7	0.01	0	0.00
Adapters	100026	100018	99.99	0	0.00	1	0.00	0	0.00	7	0.01

%Hit_no_genomes: 98.26
