Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR799769_1_paired_trimmomatic	11.538545608823227	45.0	71.15251845857603	10.0	2549357.0
SRR799769_2_paired_trimmomatic	13.503503467294522	45.0	71.66554507666051	10.0	2549357.0
SRR799770_1_paired_trimmomatic	20.046136082668113	46.0	71.0838134955263	10.0	2753757.0
SRR799770_2_paired_trimmomatic	22.7764256933081	46.0	71.63627001220515	10.0	2753757.0
SRR799771_1_paired_trimmomatic	11.800367808031623	46.0	71.09664462927418	10.0	3122874.0
SRR799771_2_paired_trimmomatic	14.542804733433996	46.0	71.71986061557399	10.0	3122874.0
SRR799772_1_paired_trimmomatic	35.58234661282913	47.0	71.14184834573373	10.0	3158500.0
SRR799772_2_paired_trimmomatic	39.50797535295942	47.0	71.64837549469685	10.0	3158500.0
SRR799773_1_paired_trimmomatic	10.179239631454166	46.0	71.08557164874328	10.0	3024261.0
SRR799773_2_paired_trimmomatic	12.536705896818546	46.0	71.62562424341021	10.0	3024261.0
SRR799774_1_paired_trimmomatic	21.183961559321858	46.0	71.10830858784036	10.0	2967207.0
SRR799774_2_paired_trimmomatic	24.58348939392596	46.0	71.66502269642798	10.0	2967207.0
SRR799775_1_paired_trimmomatic	12.087740501192243	44.0	71.18982364186789	10.0	2739369.0
SRR799775_2_paired_trimmomatic	13.955482779925433	45.0	71.72839584590466	10.0	2739369.0
SRR799776_1_paired_trimmomatic	31.573442625718656	48.0	71.07379992614192	10.0	3336128.0
SRR799776_2_paired_trimmomatic	37.001580284584755	48.0	71.59389957459666	10.0	3336128.0
