#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN4654_c0_g1_i1:351-1754  -            468 66389at7898          -            393  5.3e-255  845.0   9.3   1   2   2.2e-15   3.7e-12   45.4   0.4     1    37     1    38     1    42 0.91 -
TRINITY_DN4654_c0_g1_i1:351-1754  -            468 66389at7898          -            393  5.3e-255  845.0   9.3   2   2  1.3e-245  2.2e-242  803.4   3.3    26   393    96   468    91   468 0.98 -
TRINITY_DN4654_c0_g1_i4:459-1853  -            465 66389at7898          -            393  2.1e-253  839.7  10.2   1   2   1.7e-14   2.9e-11   42.5   0.5     1    39     1    40     1    45 0.90 -
TRINITY_DN4654_c0_g1_i4:459-1853  -            465 66389at7898          -            393  2.1e-253  839.7  10.2   2   2    5e-245  8.6e-242  801.5   3.5    28   393    95   465    91   465 0.98 -
TRINITY_DN4654_c0_g1_i3:0-983     -            328 66389at7898          -            393  3.8e-221  733.5   4.6   1   1  2.5e-224  4.2e-221  733.4   4.6    68   393     1   328     1   328 0.99 -
TRINITY_DN4350_c0_g1_i4:877-1923  -            349 66389at7898          -            393  2.9e-140  467.2   4.4   1   1  1.9e-143  3.2e-140  467.1   4.4    42   390     1   348     1   349 0.97 -
TRINITY_DN4350_c0_g1_i1:1287-2333 -            349 66389at7898          -            393    3e-140  467.2   4.4   1   1  1.9e-143  3.3e-140  467.0   4.4    42   390     1   348     1   349 0.96 -
TRINITY_DN4350_c0_g1_i8:1261-2307 -            349 66389at7898          -            393    3e-140  467.2   4.4   1   1  1.9e-143  3.3e-140  467.0   4.4    42   390     1   348     1   349 0.96 -
TRINITY_DN4350_c0_g1_i7:877-1923  -            349 66389at7898          -            393  3.4e-140  467.0   4.1   1   1  2.2e-143  3.8e-140  466.8   4.1    42   390     1   348     1   349 0.96 -
TRINITY_DN4350_c0_g1_i5:1287-2333 -            349 66389at7898          -            393  3.5e-140  466.9   4.2   1   1  2.2e-143  3.9e-140  466.8   4.2    42   390     1   348     1   349 0.96 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/66389at7898.hmm
# Target file:     /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/initial_results/trinity.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/hmmer_output/initial_run_results/66389at7898.out --cpu 1 /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/66389at7898.hmm /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/initial_results/trinity.Trinity.fasta.modified.fas 
# Current dir:     /home/ericjuo/Projects/salmo_trutta_rna_seq
# Date:            Fri Apr 29 12:53:58 2022
# [ok]
