#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN19817_c0_g1_i11:901-2649  -            583 41297at7898          -            477         0 1013.2   9.2   1   2  1.1e-295    2e-294  975.9   2.9     1   451     8   505     8   524 0.95 -
TRINITY_DN19817_c0_g1_i11:901-2649  -            583 41297at7898          -            477         0 1013.2   9.2   2   2   5.7e-11   9.9e-10   37.1   0.5   440   477   534   583   520   583 0.80 -
TRINITY_DN19817_c0_g1_i10:901-2571  -            557 41297at7898          -            477  1.7e-283  939.9   9.2   1   2  2.2e-273  3.8e-272  902.4   2.9    20   451     1   479     1   497 0.95 -
TRINITY_DN19817_c0_g1_i10:901-2571  -            557 41297at7898          -            477  1.7e-283  939.9   9.2   2   2     5e-11   8.7e-10   37.3   0.4   440   477   508   557   492   557 0.80 -
TRINITY_DN19817_c0_g1_i2:2-1204     -            401 41297at7898          -            477  8.1e-241  799.1   4.2   1   2  1.3e-218  2.3e-217  721.8   0.6    20   339     1   332     1   350 0.98 -
TRINITY_DN19817_c0_g1_i2:2-1204     -            401 41297at7898          -            477  8.1e-241  799.1   4.2   2   2   1.1e-23   1.9e-22   79.0   0.2   338   381   358   401   346   401 0.88 -
TRINITY_DN19817_c0_g1_i3:1-1035     -            345 41297at7898          -            477  1.3e-207  689.7   0.1   1   1  8.2e-209  1.4e-207  689.5   0.1     1   330     4   345     4   345 0.97 -
TRINITY_DN19817_c0_g1_i7:1-1035     -            345 41297at7898          -            477  5.5e-207  687.6   0.1   1   1  3.6e-208  6.3e-207  687.4   0.1     1   330     4   345     4   345 0.97 -
TRINITY_DN17854_c2_g1_i2:1026-2015  -            330 41297at7898          -            477   2.3e-87  293.1   0.0   1   1   1.6e-88   2.9e-87  292.8   0.0     6   265     5   264     1   271 0.96 -
TRINITY_DN17854_c2_g1_i4:1014-2003  -            330 41297at7898          -            477   2.3e-87  293.1   0.0   1   1   1.6e-88   2.9e-87  292.8   0.0     6   265     5   264     1   271 0.96 -
TRINITY_DN17854_c2_g1_i3:1014-2003  -            330 41297at7898          -            477   2.9e-87  292.8   0.0   1   1     2e-88   3.6e-87  292.5   0.0     6   265     5   264     1   271 0.96 -
TRINITY_DN27071_c1_g1_i1:223-1284   -            354 41297at7898          -            477   2.5e-83  279.8   0.2   1   1   1.6e-84   2.8e-83  279.6   0.2     8   269     2   263     1   323 0.95 -
TRINITY_DN3186_c1_g1_i6:389-1348    -            320 41297at7898          -            477   3.9e-83  279.1   0.1   1   1   2.6e-84   4.5e-83  279.0   0.1     7   263     5   261     1   303 0.94 -
TRINITY_DN3186_c1_g1_i3:2144-3187   -            348 41297at7898          -            477   6.1e-83  278.5   0.0   1   1   4.3e-84   7.5e-83  278.2   0.0     7   263     5   261     1   284 0.96 -
TRINITY_DN3186_c1_g1_i7:2144-3187   -            348 41297at7898          -            477   6.1e-83  278.5   0.0   1   1   4.3e-84   7.5e-83  278.2   0.0     7   263     5   261     1   284 0.96 -
TRINITY_DN16931_c0_g1_i2:1140-2300  -            387 41297at7898          -            477     3e-76  256.4   0.2   1   1   2.2e-77   3.8e-76  256.1   0.2     7   262    31   287    25   298 0.96 -
TRINITY_DN63842_c0_g1_i1:894-2693   -            600 41297at7898          -            477   4.6e-75  252.5   0.0   1   1   3.5e-76   6.1e-75  252.1   0.0    10   274    25   288    15   299 0.95 -
