#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN24485_c0_g1_i1:118-1395   -            426 27329at7898          -            588  5.1e-214  711.2  54.0   1   1  7.4e-216  6.1e-214  710.9  54.0     1   388     1   426     1   426 0.94 -
TRINITY_DN10067_c1_g1_i3:194-1378   -            395 27329at7898          -            588  4.8e-145  483.4  54.4   1   1  6.5e-147  5.4e-145  483.3  54.4     5   373     4   395     1   395 0.91 -
TRINITY_DN15979_c0_g1_i3:490-1965   -            492 27329at7898          -            588    4e-109  364.8 190.9   1   5   4.5e-40   3.7e-38  130.5  45.1   270   432     3   172     2   173 0.94 -
TRINITY_DN15979_c0_g1_i3:490-1965   -            492 27329at7898          -            588    4e-109  364.8 190.9   2   5     4e-25   3.3e-23   81.1  21.7   343   432   118   210   115   211 0.92 -
TRINITY_DN15979_c0_g1_i3:490-1965   -            492 27329at7898          -            588    4e-109  364.8 190.9   3   5   8.2e-21   6.7e-19   66.9  23.4   345   436   158   252   158   255 0.92 -
TRINITY_DN15979_c0_g1_i3:490-1965   -            492 27329at7898          -            588    4e-109  364.8 190.9   4   5   1.9e-33   1.5e-31  108.6  59.3   241   431   244   447   244   447 0.88 -
TRINITY_DN15979_c0_g1_i3:490-1965   -            492 27329at7898          -            588    4e-109  364.8 190.9   5   5   7.3e-11     6e-09   34.0   9.4   382   432   436   492   435   492 0.96 -
TRINITY_DN16298_c3_g1_i3:115-1224   -            370 27329at7898          -            588   9.1e-65  218.3 144.4   1   5   1.1e-13   9.3e-12   43.3  11.4   387   433     1    47     1    48 0.97 -
TRINITY_DN16298_c3_g1_i3:115-1224   -            370 27329at7898          -            588   9.1e-65  218.3 144.4   2   5   8.9e-14   7.4e-12   43.6   9.2   384   432    36    84    35    86 0.97 -
TRINITY_DN16298_c3_g1_i3:115-1224   -            370 27329at7898          -            588   9.1e-65  218.3 144.4   3   5   1.2e-36   9.8e-35  119.2  62.0   243   436    82   288    81   299 0.85 -
TRINITY_DN16298_c3_g1_i3:115-1224   -            370 27329at7898          -            588   9.1e-65  218.3 144.4   4   5   4.8e-10     4e-08   31.3  10.8   382   432   272   330   272   330 0.86 -
TRINITY_DN16298_c3_g1_i3:115-1224   -            370 27329at7898          -            588   9.1e-65  218.3 144.4   5   5   2.5e-11   2.1e-09   35.6  19.1   358   432   290   370   288   370 0.84 -
TRINITY_DN15979_c0_g1_i4:127-1167   -            347 27329at7898          -            588   7.6e-50  169.1  98.1   1   2   1.2e-30   9.7e-29   99.4  49.7   267   436     2   186     1   194 0.87 -
TRINITY_DN15979_c0_g1_i4:127-1167   -            347 27329at7898          -            588   7.6e-50  169.1  98.1   2   2     3e-23   2.5e-21   74.9  40.4   256   394   198   347   192   347 0.88 -
TRINITY_DN19813_c0_g1_i2:145-600    -            152 27329at7898          -            588   9.6e-42  142.3  49.1   1   1   1.3e-43     1e-41  142.2  49.1   166   311     5   151     1   152 0.96 -
TRINITY_DN19055_c0_g1_i1:149-472    -            108 27329at7898          -            588   4.9e-36  123.5  36.9   1   1   6.6e-38   5.4e-36  123.3  36.9   161   266     1   108     1   108 0.98 -
TRINITY_DN16298_c0_g1_i1:15-515     -            167 27329at7898          -            588   1.1e-34  119.0  57.9   1   3     2e-16   1.6e-14   52.4  12.4   379   432    12    65     1    65 0.89 -
TRINITY_DN16298_c0_g1_i1:15-515     -            167 27329at7898          -            588   1.1e-34  119.0  57.9   2   3   1.5e-23   1.2e-21   75.9  24.4   340   431    46   139    45   140 0.92 -
TRINITY_DN16298_c0_g1_i1:15-515     -            167 27329at7898          -            588   1.1e-34  119.0  57.9   3   3   2.5e-05    0.0021   15.7   5.2   392   422   138   167   135   167 0.91 -
TRINITY_DN15979_c0_g1_i1:65-574     -            170 27329at7898          -            588   3.7e-34  117.3  66.8   1   2   3.5e-23   2.9e-21   74.7  27.7   330   436     1   108     1   110 0.91 -
TRINITY_DN15979_c0_g1_i1:65-574     -            170 27329at7898          -            588   3.7e-34  117.3  66.8   2   2     3e-17   2.4e-15   55.1  31.1   355   442    62   161    62   170 0.79 -
TRINITY_DN38170_c0_g2_i1:230-775    -            182 27329at7898          -            588   1.9e-32  111.6  61.5   1   3   3.4e-24   2.8e-22   78.0  27.6   330   433     1   105     1   113 0.91 -
TRINITY_DN38170_c0_g2_i1:230-775    -            182 27329at7898          -            588   1.9e-32  111.6  61.5   2   3   2.7e-09   2.2e-07   28.8   4.7   388   432    98   150    97   150 0.84 -
TRINITY_DN38170_c0_g2_i1:230-775    -            182 27329at7898          -            588   1.9e-32  111.6  61.5   3   3   1.2e-09   9.8e-08   30.0  13.3   369   423   122   181   120   182 0.83 -
TRINITY_DN9048_c1_g2_i1:47-727      -            227 27329at7898          -            588   3.6e-32  110.7  62.2   1   2   5.6e-30   4.6e-28   97.1  47.1   238   432     1   188     1   192 0.88 -
TRINITY_DN9048_c1_g2_i1:47-727      -            227 27329at7898          -            588   3.6e-32  110.7  62.2   2   2   1.8e-05    0.0014   16.3   6.9   399   432   193   226   188   227 0.95 -
TRINITY_DN16298_c0_g1_i2:15-362     -            116 27329at7898          -            588   6.6e-30  103.2  34.7   1   2   9.8e-19   8.1e-17   60.0  11.1   381   434     3    56     1    59 0.96 -
TRINITY_DN16298_c0_g1_i2:15-362     -            116 27329at7898          -            588   6.6e-30  103.2  34.7   2   2   2.7e-17   2.3e-15   55.2  15.7   345   413    40   113    39   115 0.90 -
TRINITY_DN38170_c0_g3_i1:0-446      -            149 27329at7898          -            588   3.5e-28   97.5  39.1   1   2   4.5e-16   3.7e-14   51.2  15.4   369   435     3    72     1    76 0.90 -
TRINITY_DN38170_c0_g3_i1:0-446      -            149 27329at7898          -            588   3.5e-28   97.5  39.1   2   2     8e-17   6.6e-15   53.7  18.5   353   432    63   147    63   149 0.92 -
TRINITY_DN18064_c0_g2_i1:148-672    -            175 27329at7898          -            588   1.9e-27   95.1  48.4   1   1   2.7e-29   2.2e-27   94.9  48.4   257   422     1   174     1   175 0.89 -
TRINITY_DN897_c0_g1_i4:1803-2117    -            105 27329at7898          -            588   1.7e-26   92.0  33.2   1   2   1.4e-22   1.2e-20   72.7  15.0   369   432     2    68     1    69 0.94 -
TRINITY_DN897_c0_g1_i4:1803-2117    -            105 27329at7898          -            588   1.7e-26   92.0  33.2   2   2   5.2e-10   4.3e-08   31.2  10.2   382   431    56   105    55   105 0.96 -
TRINITY_DN897_c0_g1_i6:1536-1850    -            105 27329at7898          -            588   1.7e-26   92.0  33.2   1   2   1.4e-22   1.2e-20   72.7  15.0   369   432     2    68     1    69 0.94 -
TRINITY_DN897_c0_g1_i6:1536-1850    -            105 27329at7898          -            588   1.7e-26   92.0  33.2   2   2   5.2e-10   4.3e-08   31.2  10.2   382   431    56   105    55   105 0.96 -
TRINITY_DN897_c0_g1_i8:1884-2201    -            106 27329at7898          -            588   4.6e-26   90.5  36.5   1   2   1.2e-21   9.8e-20   69.6  16.1   369   432     2    68     1    69 0.94 -
TRINITY_DN897_c0_g1_i8:1884-2201    -            106 27329at7898          -            588   4.6e-26   90.5  36.5   2   2   1.7e-10   1.4e-08   32.8  12.4   382   432    56   106    56   106 0.98 -
TRINITY_DN19813_c0_g2_i1:6-452      -            149 27329at7898          -            588   2.6e-25   88.1  56.5   1   3   1.9e-09   1.6e-07   29.4   7.8   387   436     1    50     1    54 0.92 -
