#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN248_c0_g1_i10:49-399  -            117 129907at7898         -            115   2.9e-77  256.0   8.8   1   1   1.6e-80   3.3e-77  255.9   8.8     1   115     1   115     1   115 1.00 -
TRINITY_DN248_c0_g1_i3:49-399   -            117 129907at7898         -            115   2.9e-77  256.0   8.8   1   1   1.6e-80   3.3e-77  255.9   8.8     1   115     1   115     1   115 1.00 -
TRINITY_DN248_c0_g1_i4:49-399   -            117 129907at7898         -            115   2.9e-77  256.0   8.8   1   1   1.6e-80   3.3e-77  255.9   8.8     1   115     1   115     1   115 1.00 -
TRINITY_DN248_c0_g3_i1:652-1002 -            117 129907at7898         -            115   2.9e-77  256.0   8.8   1   1   1.6e-80   3.3e-77  255.9   8.8     1   115     1   115     1   115 1.00 -
TRINITY_DN4959_c0_g2_i1:1-273   -             91 129907at7898         -            115   1.6e-33  115.1   3.0   1   1     9e-37   1.8e-33  114.9   3.0    23   115     1    91     1    91 0.98 -
TRINITY_DN53368_c0_g1_i1:48-362 -            105 129907at7898         -            115   6.2e-32  110.0   8.1   1   1   3.4e-35   6.7e-32  109.9   8.1     2   106     1   103     1   105 0.97 -
TRINITY_DN4980_c0_g1_i4:53-958  -            302 129907at7898         -            115    0.0086   16.0   1.1   1   2   9.9e-06     0.019   14.9   0.2    19    70    69   127    61   147 0.79 -
TRINITY_DN4980_c0_g1_i4:53-958  -            302 129907at7898         -            115    0.0086   16.0   1.1   2   2      0.74   1.5e+03   -0.8   0.0    33    55   157   181   137   191 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/129907at7898.hmm
# Target file:     /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/initial_results/trinity.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/hmmer_output/initial_run_results/129907at7898.out --cpu 1 /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/129907at7898.hmm /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/initial_results/trinity.Trinity.fasta.modified.fas 
# Current dir:     /home/ericjuo/Projects/salmo_trutta_rna_seq
# Date:            Fri Apr 29 12:52:58 2022
# [ok]
