#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN14490_c0_g1_i1:945-1616 -            224 81325at7898          -            238   3.4e-59  199.1   0.9   1   1     2e-61   4.7e-59  198.6   0.9    51   149     1    99     1   109 0.98 -
TRINITY_DN14490_c0_g1_i2:750-1421 -            224 81325at7898          -            238   3.4e-59  199.1   0.9   1   1     2e-61   4.7e-59  198.6   0.9    51   149     1    99     1   109 0.98 -
TRINITY_DN262_c4_g1_i2:302-903    -            127 81325at7898          -            238   4.1e-53  179.1   1.1   1   1   2.1e-55     5e-53  178.9   1.1    51   147     9   106     2   113 0.94 -
TRINITY_DN22236_c0_g1_i1:1-930    -            310 81325at7898          -            238   8.1e-53  178.2   1.1   1   2   3.4e-55   8.1e-53  178.2   1.1    47   195    27   177    20   222 0.74 -
TRINITY_DN22236_c0_g1_i1:1-930    -            310 81325at7898          -            238   8.1e-53  178.2   1.1   2   2       1.9   4.6e+02   -1.1   0.0   180   202   238   259   228   284 0.66 -
TRINITY_DN22236_c0_g1_i2:1-930    -            310 81325at7898          -            238   8.1e-53  178.2   1.1   1   2   3.4e-55   8.1e-53  178.2   1.1    47   195    27   177    20   222 0.74 -
TRINITY_DN22236_c0_g1_i2:1-930    -            310 81325at7898          -            238   8.1e-53  178.2   1.1   2   2       1.9   4.6e+02   -1.1   0.0   180   202   238   259   228   284 0.66 -
TRINITY_DN4873_c0_g1_i2:921-1571  -            217 81325at7898          -            238   1.3e-50  170.9   0.5   1   1   8.6e-53   2.1e-50  170.3   0.4    52   152     1   102     1   111 0.92 -
TRINITY_DN4873_c0_g1_i4:906-1556  -            217 81325at7898          -            238   1.3e-50  170.9   0.5   1   1   8.6e-53   2.1e-50  170.3   0.4    52   152     1   102     1   111 0.92 -
TRINITY_DN4873_c0_g1_i5:921-1571  -            217 81325at7898          -            238   1.3e-50  170.9   0.5   1   1   8.6e-53   2.1e-50  170.3   0.4    52   152     1   102     1   111 0.92 -
TRINITY_DN4283_c0_g2_i1:458-826   -            123 81325at7898          -            238   1.6e-50  170.6   0.3   1   1   7.8e-53   1.9e-50  170.4   0.3    52   154     1   103     1   114 0.95 -
TRINITY_DN2619_c2_g1_i10:853-1668 -            272 81325at7898          -            238   3.7e-49  166.2   1.4   1   1   2.6e-51   6.2e-49  165.5   1.4    50   162   140   251   132   262 0.92 -
TRINITY_DN2619_c2_g1_i3:891-1706  -            272 81325at7898          -            238   3.7e-49  166.2   1.4   1   1   2.6e-51   6.2e-49  165.5   1.4    50   162   140   251   132   262 0.92 -
TRINITY_DN2619_c2_g1_i5:856-1671  -            272 81325at7898          -            238   3.7e-49  166.2   1.4   1   1   2.6e-51   6.2e-49  165.5   1.4    50   162   140   251   132   262 0.92 -
TRINITY_DN2619_c2_g1_i9:330-1145  -            272 81325at7898          -            238   3.7e-49  166.2   1.4   1   1   2.6e-51   6.2e-49  165.5   1.4    50   162   140   251   132   262 0.92 -
TRINITY_DN22580_c0_g1_i1:129-611  -            161 81325at7898          -            238   2.7e-48  163.4   0.4   1   1   1.2e-50   2.9e-48  163.3   0.4    45   157     6   118     2   152 0.87 -
TRINITY_DN6505_c0_g1_i2:306-1553  -            416 81325at7898          -            238   2.5e-46  156.9   2.0   1   2   2.2e-48   5.2e-46  155.9   1.2    49   163   147   261   110   302 0.90 -
TRINITY_DN6505_c0_g1_i2:306-1553  -            416 81325at7898          -            238   2.5e-46  156.9   2.0   2   2         2   4.7e+02   -1.1   0.0   178   200   340   362   312   378 0.69 -
TRINITY_DN6505_c0_g1_i1:332-1579  -            416 81325at7898          -            238   2.5e-46  156.9   2.0   1   2   2.2e-48   5.2e-46  155.9   1.2    49   163   147   261   110   302 0.90 -
TRINITY_DN6505_c0_g1_i1:332-1579  -            416 81325at7898          -            238   2.5e-46  156.9   2.0   2   2         2   4.7e+02   -1.1   0.0   178   200   340   362   312   378 0.69 -
TRINITY_DN23176_c0_g1_i1:1-363    -            121 81325at7898          -            238   7.1e-46  155.4   0.2   1   1   3.4e-48   8.2e-46  155.2   0.2    50   137    30   118    18   121 0.91 -
TRINITY_DN16025_c2_g1_i2:736-1329 -            198 81325at7898          -            238   4.8e-41  139.6   1.1   1   1   5.4e-43   1.3e-40  138.2   1.1    52   204     1   168     1   186 0.74 -
TRINITY_DN10171_c0_g2_i1:616-1179 -            188 81325at7898          -            238   3.1e-38  130.4   1.3   1   1   1.6e-40     4e-38  130.1   1.3    46   145    21   120    13   142 0.93 -
TRINITY_DN10171_c0_g2_i2:616-1179 -            188 81325at7898          -            238   3.1e-38  130.4   1.3   1   1   1.6e-40     4e-38  130.1   1.3    46   145    21   120    13   142 0.93 -
TRINITY_DN31837_c0_g2_i1:222-788  -            189 81325at7898          -            238   3.5e-36  123.7   0.0   1   1   1.6e-38   3.8e-36  123.6   0.0    50   147    41   138     5   159 0.90 -
TRINITY_DN29760_c0_g1_i3:401-943  -            181 81325at7898          -            238   3.6e-34  117.1   0.3   1   1   2.1e-36     5e-34  116.6   0.3    50   131    95   176    87   178 0.96 -
TRINITY_DN29760_c0_g1_i2:518-1060 -            181 81325at7898          -            238   3.6e-34  117.1   0.3   1   1   2.2e-36   5.3e-34  116.6   0.3    51   131    96   176    88   178 0.96 -
TRINITY_DN29760_c0_g1_i7:518-1060 -            181 81325at7898          -            238   3.6e-34  117.1   0.3   1   1   2.2e-36   5.3e-34  116.6   0.3    51   131    96   176    88   178 0.96 -
TRINITY_DN29760_c0_g1_i8:518-1060 -            181 81325at7898          -            238   3.6e-34  117.1   0.3   1   1   2.2e-36   5.3e-34  116.6   0.3    51   131    96   176    88   178 0.96 -
TRINITY_DN29760_c0_g2_i1:400-1002 -            201 81325at7898          -            238   8.3e-33  112.6   0.2   1   1   5.2e-35   1.2e-32  112.1   0.2    50   131   115   196   105   198 0.95 -
TRINITY_DN31837_c0_g2_i2:15-650   -            212 81325at7898          -            238   2.7e-31  107.7   0.0   1   1   1.3e-33   3.2e-31  107.4   0.0    56   147     1    92     1   128 0.91 -
TRINITY_DN7250_c0_g2_i1:170-847   -            226 81325at7898          -            238   4.2e-26   90.7   0.5   1   1   2.7e-28   6.5e-26   90.1   0.5    49   127   144   223   136   225 0.94 -
TRINITY_DN7250_c0_g2_i2:170-847   -            226 81325at7898          -            238   4.2e-26   90.7   0.5   1   1   2.7e-28   6.5e-26   90.1   0.5    49   127   144   223   136   225 0.94 -
TRINITY_DN7250_c0_g2_i3:170-847   -            226 81325at7898          -            238   4.2e-26   90.7   0.5   1   1   2.7e-28   6.5e-26   90.1   0.5    49   127   144   223   136   225 0.94 -
